ARK	200	214	214$c	700	300$a
ark:/12148/cb46998039p	 $a Faire corps $b Texte imprimé $e roman $f Charlotte Pons	 $a [Paris] $c Flammarion $d DL 2021¤ $a 53-Mayenne $c impr. Floch	Flammarion¤impr. Floch	 $3 17159474 $a Pons $b Charlotte $4 070	
ark:/12148/cb46942879n	 $a Trackés $b Texte imprimé $f Christophe Nicolas	 $a [Rennes] $c Argyll $d DL 2021¤ $a 30-Nîmes $c Printteam	Argyll¤Printteam	 $3 16251244 $o ISNI0000000108484335 $a Nicolas $b Christophe $f 1974-.... $4 070	
ark:/12148/cb469955291	 $a Quand descend le soir $b Texte imprimé $f Emmanuel Flory	 $a Mortemart $c Rougerie $d impr. 2022¤ $a 87-Limoges $c Impr. Graphicolor	Rougerie¤Impr. Graphicolor	 $3 14549745 $o ISNI0000000042612065 $a Flory $b Emmanuel $f 1977-.... $4 070	
ark:/12148/cb46987729v	 $a Mes premiers grands classiques $b Texte imprimé	 $a Paris $c Fleurus $d DL 2021¤ $a impr. en Chine	Fleurus		
ark:/12148/cb46962609b	 $a Supernova $b Texte imprimé $f Dimitri Kantcheloff	 $a Paris $c les Avrils $d DL 2021¤ $a 86-Ligugé $c Aubin impr.	les Avrils¤Aubin impr.	 $3 18028213 $o ISNI000000050780392X $a Kantcheloff $b Dimitri $f 1981-.... $4 070	
ark:/12148/cb46971319s	 $a Chroniques de confinement $b Texte imprimé $f Marie Hamon	 $a [Saint-Denis (La Réunion)] $c Orphie $d DL 2020¤ $a impr. en Croatie	Orphie	 $3 17100953 $a Hamon $b Marie $4 070	
ark:/12148/cb469697397	 $a Un loup quelque part $b Texte imprimé $e roman $f Amélie Cordonnier	 $a [Paris] $c Flammarion $d DL 2020	Flammarion	 $3 17772218 $o ISNI0000000472220408 $a Cordonnier $b Amélie $4 070	
ark:/12148/cb46996049h	 $a Le trou $b Texte imprimé $f Christian Ducos	 $a Pellegrue $c le Pauvre songe $d DL 2022¤ $a 33-Canéjan $c Impr. Copymédia	le Pauvre songe¤Impr. Copymédia	 $3 16252535 $a Ducos $b Christian $f 1955-.... $4 070	
ark:/12148/cb469468292	 $a Son parfum $b Texte imprimé $f Nathalie Beaux	 $a Paris $c Macha $d DL 2021¤ $a 58-Clamecy $c Impr. Laballery	Macha¤Impr. Laballery	 $3 12902686 $o ISNI0000000117505337 $a Beaux $b Nathalie $f 1960-.... $4 070	
ark:/12148/cb470395896	 $a Biche $b Texte imprimé $f Mona Messine	 $a Paris $c Livres agités $d DL 2022¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin Didot	Livres agités¤Impr. CPI Firmin Didot	 $3 18033236 $a Messine $b Mona $f 1992-.... $4 070	
